央视,#genre#
音乐,#genre#
咪咕音乐,http://ott.mobaibox.com/PLTV/*/224/3221228794/index.m3u8
睛彩广场舞,http://ott.mobaibox.com/PLTV/*/224/3221228818/index.m3u8

体育,#genre#
江苏体育休闲,http://ott.mobaibox.com/PLTV/*/224/3221228746/index.m3u8
睛彩篮球,http://ott.mobaibox.com/PLTV/*/224/3221228129/index.m3u8
睛彩竞技 SPORT,http://ott.mobaibox.com/PLTV/*/224/3221228206/index.m3u8

新闻,#genre#
资讯,http://ott.mobaibox.com/PLTV/*/224/3221227712/index.m3u8
新闻综合,http://ott.mobaibox.com/PLTV/*/224/3221228462/index.m3u8
LIVE直播香港台,http://ott.mobaibox.com/PLTV/*/224/3221228530/index.m3u8
CGTN,http://ott.mobaibox.com/PLTV/*/224/3221228811/index.m3u8
NBS Live南京,http://ott.mobaibox.com/PLTV/*/224/3221228806/index.m3u8

纪录片,#genre#
精品记录,http://ott.mobaibox.com/PLTV/*/224/3221227547/index.m3u8
NBS文旅纪录,http://ott.mobaibox.com/PLTV/*/224/3221227722/index.m3u8

生活服务,#genre#
生活,http://ott.mobaibox.com/PLTV/*/224/3221227902/index.m3u8
经济生活,http://ott.mobaibox.com/PLTV/*/224/3221227611/index.m3u8
三农,http://ott.mobaibox.com/PLTV/*/224/3221227709/index.m3u8
农业致富,http://ott.mobaibox.com/PLTV/*/224/3221227588/index.m3u8
军事评论,http://ott.mobaibox.com/PLTV/*/224/3221227544/index.m3u8
综合,http://ott.mobaibox.com/PLTV/*/224/3221228847/index.m3u8
文娱,http://ott.mobaibox.com/PLTV/*/224/3221227739/index.m3u8

教育与专业,#genre#
江苏教育,http://ott.mobaibox.com/PLTV/*/224/3221228613/index.m3u8
NBS 南京教科,http://ott.mobaibox.com/PLTV/*/224/3221227194/index.m3u8
江苏城市,http://ott.mobaibox.com/PLTV/*/224/3221228734/index.m3u8
江苏新闻,http://ott.mobaibox.com/PLTV/*/224/3221228743/index.m3u8
江苏综艺,http://ott.mobaibox.com/PLTV/*/224/3221228731/index.m3u8
江苏影视,http://ott.mobaibox.com/PLTV/*/224/3221228728/index.m3u8

其他,#genre#
3221228873,http://ott.mobaibox.com/PLTV/*/224/3221228873/index.m3u8
3221227325,http://ott.mobaibox.com/PLTV/*/224/3221227325/index.m3u8
3221228448,http://ott.mobaibox.com/PLTV/*/224/3221228448/index.m3u8
3221228663,http://ott.mobaibox.com/PLTV/*/224/3221228663/index.m3u8
3221228456,http://ott.mobaibox.com/PLTV/*/224/3221228456/index.m3u8
3221228465,http://ott.mobaibox.com/PLTV/*/224/3221228465/index.m3u8
3221228785,http://ott.mobaibox.com/PLTV/*/224/3221228785/index.m3u8
3221228451,http://ott.mobaibox.com/PLTV/*/224/3221228451/index.m3u8
buming,http://ott.mobaibox.com/PLTV/*/224/3221228317/index.m3u8




